raceyear,drivername,win,cumwin,racedate
1991,vettel,0,0,1991-01-01
1991,villeneuve,0,0,1991-01-01
1991,vukovich,0,2,1991-01-01
1991,wallard,0,1,1991-01-01
1991,ward,0,1,1991-01-01
1991,watson,0,5,1991-01-01
1991,webber,0,0,1991-01-01
1992,berger,2,8,1992-01-01
1992,mansell,9,30,1992-01-01
1992,michael_schumacher,1,1,1992-01-01
1992,patrese,1,6,1992-01-01
1992,senna,3,36,1992-01-01
1992,alboreto,0,5,1992-01-01
1992,alesi,0,0,1992-01-01
1992,alonso,0,0,1992-01-01
1992,angelis,0,2,1992-01-01
1992,arnoux,0,7,1992-01-01
1992,ascari,0,13,1992-01-01
1992,baghetti,0,1,1992-01-01
1992,bandini,0,1,1992-01-01
1992,barrichello,0,0,1992-01-01
1992,beltoise,0,1,1992-01-01
1992,bonnier,0,1,1992-01-01
1992,bottas,0,0,1992-01-01
1992,boutsen,0,3,1992-01-01
1992,brambilla,0,1,1992-01-01
1992,brooks,0,6,1992-01-01
1992,bryan,0,1,1992-01-01
1992,button,0,0,1992-01-01
1992,cevert,0,1,1992-01-01
1992,clark,0,25,1992-01-01
1992,collins,0,3,1992-01-01
1992,coulthard,0,0,1992-01-01
1992,damon_hill,0,0,1992-01-01
1992,depailler,0,2,1992-01-01
1992,emerson_fittipaldi,0,14,1992-01-01
1992,fagioli,0,1,1992-01-01
1992,fangio,0,24,1992-01-01
1992,farina,0,5,1992-01-01
1992,fisichella,0,0,1992-01-01
1992,flaherty,0,1,1992-01-01
1992,frentzen,0,0,1992-01-01
1992,gethin,0,1,1992-01-01
1992,gilles_villeneuve,0,6,1992-01-01
1992,ginther,0,1,1992-01-01
1992,gonzalez,0,2,1992-01-01
1992,gurney,0,4,1992-01-01
1992,hakkinen,0,0,1992-01-01
1992,hamilton,0,0,1992-01-01
1992,hanks,0,1,1992-01-01
1992,hawthorn,0,3,1992-01-01
1992,herbert,0,0,1992-01-01
1992,hill,0,14,1992-01-01
1992,hulme,0,8,1992-01-01
1992,hunt,0,10,1992-01-01
1992,ickx,0,8,1992-01-01
1992,ireland,0,1,1992-01-01
1992,irvine,0,0,1992-01-01
1992,jabouille,0,2,1992-01-01
1992,jack_brabham,0,14,1992-01-01
1992,jones,0,12,1992-01-01
1992,keke_rosberg,0,5,1992-01-01
1992,kovalainen,0,0,1992-01-01
1992,kubica,0,0,1992-01-01
1992,laffite,0,6,1992-01-01
1992,lauda,0,25,1992-01-01
1992,leclerc,0,0,1992-01-01
1992,maldonado,0,0,1992-01-01
1992,mario_andretti,0,12,1992-01-01
1992,mass,0,1,1992-01-01
1992,massa,0,0,1992-01-01
1992,max_verstappen,0,0,1992-01-01
1992,mclaren,0,4,1992-01-01
1992,montoya,0,0,1992-01-01
1992,moss,0,16,1992-01-01
1992,musso,0,1,1992-01-01
1992,nannini,0,1,1992-01-01
1992,nilsson,0,1,1992-01-01
1992,pace,0,1,1992-01-01
1992,panis,0,0,1992-01-01
1992,parsons,0,1,1992-01-01
1992,peterson,0,10,1992-01-01
1992,phil_hill,0,3,1992-01-01
1992,piquet,0,23,1992-01-01
1992,pironi,0,3,1992-01-01
1992,prost,0,44,1992-01-01
1992,raikkonen,0,0,1992-01-01
1992,ralf_schumacher,0,0,1992-01-01
1992,rathmann,0,1,1992-01-01
1992,regazzoni,0,5,1992-01-01
1992,reutemann,0,12,1992-01-01
1992,revson,0,2,1992-01-01
1992,ricciardo,0,0,1992-01-01
1992,rindt,0,6,1992-01-01
1992,rodriguez,0,2,1992-01-01
1992,rosberg,0,0,1992-01-01
1992,ruttman,0,1,1992-01-01
1992,scarfiotti,0,1,1992-01-01
1992,scheckter,0,10,1992-01-01
1992,siffert,0,2,1992-01-01
1992,stewart,0,27,1992-01-01
1992,surtees,0,6,1992-01-01
